2021 SAN JOAQUIN RIVER WATER YEAR FORECAST BREAKDOWN,,,,,,,,,,,,,,,,
"March 1, 2021",,,,,,,,,,,,,,,,
,Stanislaus River below Goodwin Reservoir Unimpaired Flow  [taf],,,,,,,,,,,,,,,
 ,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,WY,Apr-Jul,WY % of avg,
99%,8 ,7 ,9 ,25 ,29 ,42 ,60 ,65 ,25 ,5 ,1 ,0 ,275 ,155 ,,
90%,8 ,7 ,9 ,25 ,29 ,61 ,97 ,103 ,40 ,10 ,2 ,0 ,390 ,250 ,,
75%,8 ,7 ,9 ,25 ,29 ,73 ,121 ,136 ,55 ,13 ,4 ,1 ,480 ,325 ,,
50%,8 ,7 ,9 ,25 ,29 ,94 ,145 ,170 ,70 ,15 ,6 ,3 ,580 ,400 ,50%,
25%,8 ,7 ,9 ,25 ,29 ,117 ,165 ,215 ,115 ,30 ,10 ,6 ,735 ,525 ,,
10%,8 ,7 ,9 ,25 ,29 ,146 ,185 ,255 ,160 ,40 ,13 ,9 ,885 ,640 ,,
,,,,,,,,,,,,1966-2015 avg,"1,149 ",682 ,,
,Tuolumne River below La Grange Reservoir Unimpaired Flow  [taf],,,,,,,,,,,,,,,
 ,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,WY,Apr-Jul,,
99%,6 ,1 ,14 ,17 ,39 ,61 ,125 ,164 ,40 ,11 ,2 ,0 ,480 ,340 ,,
90%,6 ,1 ,14 ,17 ,39 ,79 ,170 ,225 ,80 ,15 ,3 ,1 ,650 ,490 ,,
75%,6 ,1 ,14 ,17 ,39 ,96 ,195 ,275 ,120 ,20 ,5 ,2 ,790 ,610 ,,
50%,6 ,1 ,14 ,17 ,39 ,113 ,215 ,320 ,160 ,25 ,7 ,3 ,920 ,720 ,48%,
